Port_IDs,PnL,ROI,Win Rate,Win Positions,Total Positions,MDD,Normalized_ROI,Normalized_PnL,Normalized_Win Rate,Final Score
3887577207880438784,169088.6424975,3.8450478128882732,100.0,6050.0,6050.0,0.0,0.9989854566494007,1.0,1.0,0.9996449098272903
3932103299427844097,59735.19549738001,3.8450478134353054,100.0,2589.0,2589.0,0.0,0.9989854567915257,0.353277397080429,1.0,0.8056281290011627
4000877324693233921,46674.638252000004,3.8489527406194073,100.0,6050.0,6050.0,0.0,0.9999999995634301,0.27603650702139915,1.0,0.7828109519536203
4021669203289716224,39020.07069912,3.4647562712098305,100.0,1682.0,1682.0,0.0,0.9001815566952488,0.2307669523084433,1.0,0.7342936305358699
3993014919980212480,16467.4363906,3.8489527420402854,100.0,695.0,695.0,0.0,0.9999999999325898,0.09738937013965011,1.0,0.7292168110183014
3966142151544441601,14889.298495680006,3.8450478124116616,100.0,1932.0,1932.0,0.0,0.9989854565255719,0.08805617145989061,1.0,0.7260617612219172
4008537296438699777,8232.3739287,3.8411425673204045,100.0,535.0,535.0,0.0,0.9979708311579131,0.04868673499949423,1.0,0.7138958114051178
3956076827719377409,27153.902548960003,3.464756269057406,100.0,3916.0,3916.0,0.0,0.9001815561360255,0.16058974835853612,1.0,0.7132404691551697
4033614723417828608,7564.237453559999,3.841142568539544,100.0,516.0,516.0,0.0,0.9979708314746588,0.044735337287197384,1.0,0.7127103922022898
4021243448368889856,4931.227103,3.848952713933845,100.0,6050.0,6050.0,0.0,0.9999999926302293,0.029163561964683164,1.0,0.7087490660099852
3977116548751698176,5268.219947200001,3.841142565384534,100.0,1624.0,1624.0,0.0,0.9979708306549527,0.031156557113396263,1.0,0.7086367578632523
3991414786174551297,4790.6081790200005,3.8450478127183114,100.0,311.0,311.0,0.0,0.9989854566052428,0.028331933524694482,1.0,0.7081444898692434
3879821005658659073,2537.20781528,3.848952731161357,100.0,872.0,872.0,0.0,0.9999999971061253,0.015005193594345125,1.0,0.7045015570654474
3939318616482048768,2430.1671156,3.8489527406194073,100.0,315.0,315.0,0.0,0.9999999995634301,0.014372148712684418,1.0,0.7043116444610059
3960874214179953664,2758.81869597,3.84114256742271,100.0,2391.0,2391.0,0.0,0.9979708311844933,0.016315813145231145,1.0,0.704184534858142
4040843843196854529,1427.7611844900002,3.8450478139927586,100.0,59.0,59.0,0.0,0.9989854569363582,0.008443862126997145,1.0,0.7021780685658244
4030626027667524352,1051.1484504199998,3.848952736552712,100.0,233.0,233.0,0.0,0.9999999985068582,0.006216552660747401,1.0,0.7018649652756245
4037179073830813185,797.0333990199999,3.848952742299744,100.0,73.0,73.0,0.0,1.0,0.004713701566512868,1.0,0.7014141104699538
4006366295148391425,787.42305027,3.848952741028345,100.0,681.0,681.0,0.0,0.9999999996696767,0.0046568654088144455,1.0,0.7013970595070311
3936410995029308417,1040.3427356,3.8411425687301084,100.0,20.0,20.0,0.0,0.9979708315241695,0.006152647039054569,1.0,0.7011355851451756
